"id","processed","name_wd","name_rdl","name_pae","units_wd_id","units_rdl_id","value_min_PAE","value_max_PAE","value_min_RDL","value_max_RDL","value_null","asociado_id","group_id","group_sensor_id","import","required_rdl","required_pae","create_date"
"1878","PROCESSED","DIR-Inc_Contin"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1879","PROCESSED","DIR-Inclinacion_Svy"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1880","PROCESSED","DIR-Int_Magnetica_X_[Gauss]"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1881","PROCESSED","DIR-Int_Magnetica_Y_[Gauss]"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1882","PROCESSED","DIR-Int_Magnetica_Z_[Gauss]"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1883","PROCESSED","DIR-Long_Perf_Trep"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1884","PROCESSED","DIR-Magnetic_Total_[Gauss]"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1885","PROCESSED","DIR-MTF_Contin"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1886","PROCESSED","DIR-Nivel_Stick_Slip"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1887","PROCESSED","DIR-Nivel_Vibracion"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1888","PROCESSED","DIR-Nombre_Trepano"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1889","PROCESSED","DIR-Numero_Serie_Trep"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1890","PROCESSED","DIR-Numero_Trepano"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1891","PROCESSED","DIR-Peso_trep_fondo_(max)"," ","","22","22","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1892","PROCESSED","DIR-Peso_trep_fondo_(Prom)"," ","","22","22","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1893","PROCESSED","DIR-Pres_Anular_Fondo"," ","","6","6","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1894","PROCESSED","DIR-Pres_Interna_Fondo"," ","","6","6","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1895","PROCESSED","DIR-Prof_Final_Trep"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1896","PROCESSED","DIR-Prof_Inicial_Trep"," ","","10","10","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1897","PROCESSED","DIR-Rate_of_Walk"," ","","70","70","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1898","PROCESSED","DIR-Razon_salida_Trep"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1899","PROCESSED","DIR-Resist_Profunda_(Correg)"," ","","71","71","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1900","PROCESSED","DIR-Resist_Somera_(Correg)"," ","","71","71","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
